,t_shem_esek,t_hesber_mahut_esek,t_categoria,t_ktovet,mahuiot,cords
7703,הובלה בקרור,"4.6 ד - הובלת בשר, דגים ומוצריו  , עופות ומוצריו ( מספר הרכב  79758801   סיטרואן ספרד שנת 2020 צבע לבן",מזון,המפעל 2 ,"4.6 ד - הובלת בשר, דגים ומוצריו  , עופות ומוצריו ( מספר הרכב  79758801   סיטרואן ספרד שנת 2020 צבע לבן,","(32.9234246, 35.0793225)"
7709,חשמל מוטו,מחסן   למנועי תעשיה משומשים    (משרת את תיק מס' 9187),מסחר ושונות,הרצל 146 ,"מחסן   למנועי תעשיה משומשים    (משרת את תיק מס' 9187),","(32.051609, 34.770054)"
7711,יובל בנג'מין,עיבוד ניקוב  וחיתוך מתכות,"תעשיה, כימיה, מחצב",רבנו חננאל 27 ,"עיבוד ניקוב  וחיתוך מתכות,","(32.05323, 34.769758)"
7716,איזי קפה,מסעדה (ללא הכנת דגים) כולל אפיה לרבות משקאות משכרים לצריכה במקום,מזון,ארלוזורוב 76 ,"מסעדה (ללא הכנת דגים) כולל אפיה לרבות משקאות משכרים לצריכה במקום,","(32.0857652, 34.779067)"
7717,"מ.ת.ל שושני בע""מ",מחסן,מסחר ושונות,הסדנה 14 ,"מחסן,","(32.053004, 34.771044)"
7719,"מוסך שירות תושיה בע""מ",מוסך למכונאות רכב כללית.,רכב ותחבורה,מיטב 9 ,"מוסך למכונאות רכב כללית.,מוסך לפחחות,","(32.0659, 34.794905)"
7720,אליס עיצוב שיער,טיפול יופי קוסמטיקה  והרחקת שיער.,"בריאות, רוקחות, קוסמטיקה",ז'בוטינסקי 105 ,"טיפול יופי קוסמטיקה  והרחקת שיער.,מספרה.,פדיקור ומניקור.,","(32.087732, 34.785396)"
7721,מכלת ניסים,מכלת,מזון,ישראל מסלנט 15 ,"מכלת,מכירת עופות ודגים קפואים,מכירת ירקות קפואים                                                                              .,מכירת פירות וירקות.,","(32.049072, 34.781104)"
7723,מוסך שימשון,תיקון תקרים.,רכב ותחבורה,המעפילים 2 ,"תיקון תקרים.,סיכת כלי רכב.,רחיצת מכוניות ידנית (ללא מתקן רחיצה אוטמטי),","(32.05438, 34.788776)"
7724,מאחורי הסורגים,מסגריה,"תעשיה, כימיה, מחצב",בר יוחאי 9 ,"מסגריה,","(32.053533, 34.771715)"
